PLAYER,HEIGHT,WEIGHT,MIN,FGA,FGA (LESS THAN 8FT),FGA (8-16 FT),FGA (16-24 FT),FGA (24+ FT),OFF BOX OUTS,DEF BOX OUTS,ISO %,ROLL-HANDLE %,ROLL-MAN %,POST-UP %,DIST MILES OFF,DIST MILES DEF,DFGA,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC/TOUCH,AVG DRIB/TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES
Tony Bradley,0.65,0.582781457,535,0.289719626,0.948387097,0.038709677,0.006451613,0.006451613,0.601323112,0.36635514,,,0.26,,0.418691589,0.695327103,0.810208483,0.505903972,0.454695161,0.130635719,0.202830189,0.053175775,0.457669876,0.046540743,0.765768737
Tony Snell,0.45,0.350993377,1641,0.232784887,0.188481675,0.096858639,0.052356021,0.659685864,0,0.113345521,0.024,0.116,,,0.39488117,0.617915905,0.328130127,0.415063309,0.46073687,0.16326148,0.316037736,0.134416544,0.040912382,0.003793312,0.017449108
Torrey Craig,0.5,0.40397351,869,0.239355581,0.394230769,0.048076923,0.033653846,0.514423077,0.077125975,0.029919448,,,,,0.393555811,0.736478711,0.387861084,0.327471268,0.353294946,0.116170749,0.287735849,0.11521418,0.104525554,0,0.187564401
Trae Young,0.2,0.132450331,2120,0.589150943,0.305844676,0.189751801,0.049639712,0.453963171,0.006322875,0.011320755,0.085,0.533,,,0.419339623,0.647169811,0.264271892,0.815707503,0.368770496,1,0.985849057,0.890694239,0.027942793,0.001468119,0.035324948
Tremont Waters,0.05,0.099337748,89,0.393258427,0.371428571,0.085714286,0.057142857,0.485714286,0,0.06741573,,0.405,,,0.393258427,0.719101124,0.363007779,0.643955581,0.383287526,0.654401778,0.823899371,0.757754801,0,0,0.024748476
Treveon Graham,0.4,0.390728477,929,0.260495156,0.438016529,0.05785124,0.012396694,0.487603306,0.173147398,0.120559742,,0.052,,,0.403659849,0.719052745,0.342386354,0.428992528,0.40572245,0.15464263,0.287735849,0.128508124,0.03825967,0.013401129,0.170708542
Trevor Ariza,0.55,0.364238411,1492,0.217158177,0.330246914,0.015432099,0.015432099,0.635802469,0.035936982,0.054959786,,0.083,,,0.354557641,0.655495979,0.264057881,0.369030287,0.407797848,0.148336918,0.325471698,0.153618907,0.074114576,0.031291007,0.078243004
Trey Burke,0.15,0.165562914,329,0.386018237,0.354330709,0.149606299,0.196850394,0.291338583,0,0.030395137,0.069,0.424,,,0.416413374,0.693009119,0.274725275,0.722983459,0.547324427,0.684502934,0.764150943,0.646971935,0.13204173,0,0.046864136
Trey Lyles,0.6,0.490066225,1271,0.269866247,0.346938776,0.096209913,0.067055394,0.489795918,0.126556989,0.180959874,,,0.093,,0.418568057,0.681353265,0.417700579,0.603921231,0.452306076,0.186349187,0.248427673,0.079763663,0.118073508,0.01224395,0.152502018
Tristan Thompson,0.6,0.622516556,1722,0.326364692,0.8113879,0.131672598,0.016014235,0.040925267,0.482624072,0.24738676,0.085,,0.202,0.112,0.386178862,0.663182346,0.563819649,0.58638335,0.606636563,0.234500304,0.320754717,0.113737075,0.513723333,0.256656521,0.767461456
Troy Brown Jr.,0.45,0.364238411,1519,0.333113891,0.434782609,0.140316206,0.138339921,0.274703557,0.035298208,0.06714944,0.035,0.195,,,0.404213298,0.713627386,0.358282271,0.481331599,0.517989768,0.265839055,0.443396226,0.329394387,0.0909965,0.012293926,0.134853942
Troy Daniels,0.35,0.264900662,457,0.347921225,0.113207547,0.088050314,0.088050314,0.710691824,0.087994493,0.087527352,,0.095,,,0.345733042,0.58643326,0.316164507,0.268216406,0.337736299,0.093458693,0.27672956,0.144756278,0.077775127,0,0.086755052
Ty Jerome,0.4,0.231788079,315,0.336507937,0.320754717,0.188679245,0.047169811,0.433962264,0,0.107936508,,0.346,,,0.431746032,0.647619048,0.386650387,0.667825482,0.49886223,0.579336008,0.694968553,0.627769572,0.087761069,0,0.076916693
Tyler Cook,0.55,0.629139073,35,0.285714286,0.9,0.1,0,0,0.382985554,0.4,,,,,0.285714286,0.571428571,0.395604396,0.407005451,0.431400433,0.110936682,0.256289308,0.085672083,0.225671321,0.266778187,0.377591036
Tyler Herro,0.4,0.231788079,1280,0.415625,0.193609023,0.148496241,0.182330827,0.471804511,0,0.0515625,0.036,0.308,,,0.46171875,0.7015625,0.330128205,0.520477447,0.492378186,0.324576465,0.503144654,0.384047267,0.064792352,0.004863144,0.046461397
Tyler Johnson,0.3,0.17218543,515,0.332038835,0.233918129,0.140350877,0.140350877,0.479532164,0,0.038834951,,0.166,,,0.419417476,0.675728155,0.331839681,0.5551411,0.475610834,0.361890537,0.523584906,0.438700148,0.053679101,0.006043519,0.072707659
Tyrone Wallace,0.4,0.251655629,160,0.275,0.477272727,0.159090909,0.022727273,0.318181818,0,0.0375,,0.29,,,0.4,0.7375,0.206730769,0.482431607,0.346019098,0.33974359,0.558176101,0.47562777,0.024682801,0.019452576,0.055065359
Tyson Chandler,0.75,0.496688742,219,0.082191781,1,0,0,0,0.550869632,0.255707763,,,,,0.360730594,0.666666667,0.618780002,0.382715649,0.260459927,0.106377641,0.221698113,0.028064993,0.270496447,0.028423856,0.432476796
Tyus Jones,0.15,0.238410596,1232,0.348214286,0.312354312,0.305361305,0.093240093,0.286713287,0,0.022727273,0.041,0.401,,,0.418019481,0.698051948,0.273580586,0.764210817,0.485234705,0.664989772,0.699685535,0.58493353,0.04487782,0,0.025029709
Udonis Haslem,0.55,0.496688742,21,0.285714286,0.666666667,0,0,0.333333333,0,0.19047619,,,,,0.333333333,0.666666667,0.274725275,0.567914583,0.452704159,0.184894471,0.245283019,0.044313146,0.376118869,0.148210104,0.209772798
Vic Law,0.5,0.271523179,9,0.333333333,0,0,0.666666667,0.333333333,0,0.444444444,,,,,0.333333333,0.888888889,0.498575499,0.515329899,0.434951054,0,0.229559748,0.073855244,0.438805347,0,0
Victor Oladipo,0.35,0.350993377,337,0.477744807,0.304347826,0.136645963,0.130434783,0.428571429,0.039775948,0.065281899,0.063,0.433,,,0.409495549,0.694362018,0.348854904,0.592771379,0.618961717,0.4147781,0.556603774,0.429837518,0.046875349,0,0.045751634
Vince Carter,0.45,0.397350993,876,0.347031963,0.134868421,0.128289474,0.072368421,0.664473684,0.061207737,0.207762557,0.029,0.077,0.089,0.083,0.373287671,0.634703196,0.291974008,0.485958112,0.475594719,0.172863666,0.286163522,0.116691285,0.094673756,0.11014244,0.055316799
Vincent Poirier,0.75,0.496688742,114,0.289473684,0.636363636,0.151515152,0.151515152,0.060606061,0.235166568,0.350877193,,,,,0.412280702,0.719298246,0.688259109,0.467865303,0.515073617,0.136238031,0.253144654,0.06351551,0.484995383,0.136509306,0.444387112
Vlatko Cancar,0.55,0.503311258,45,0.333333333,0.466666667,0.066666667,0.066666667,0.4,0.595755306,0,,,,,0.355555556,0.666666667,0.498575499,0.434349487,0.497086919,0.172568173,0.248427673,0.085672083,0.263283208,0,0.39157589
Wayne Ellington,0.35,0.311258278,558,0.311827957,0.068965517,0.011494253,0.109195402,0.810344828,0,0.043010753,,0.061,,,0.41218638,0.634408602,0.293860858,0.385903727,0.525148278,0.132209487,0.279874214,0.147710487,0.077852562,0,0.051315389
Wendell Carter Jr.,0.6,0.728476821,1256,0.273089172,0.740524781,0.131195335,0.043731778,0.084548105,0.394877621,0.328025478,,,0.232,0.105,0.381369427,0.695859873,0.432079863,0.459471233,0.481750838,0.142203868,0.246855346,0.066469719,0.597418107,0.193286744,0.676918113
Wenyen Gabriel,0.6,0.298013245,211,0.218009479,0.5,0.065217391,0,0.434782609,0.127056819,0.388625592,,,,,0.402843602,0.701421801,0.399805566,0.406646579,0.328642774,0.128812735,0.243710692,0.085672083,0.299469052,0.059003074,0.323606852
Wes Iwundu,0.45,0.231788079,810,0.239506173,0.371134021,0.12371134,0.159793814,0.345360825,0,0.041975309,,0.167,,,0.413580247,0.716049383,0.343621399,0.330056531,0.345889648,0.172568173,0.424528302,0.265878877,0.073134224,0,0.141402405
Wesley Matthews,0.35,0.397350993,1529,0.262262917,0.209476309,0.06234414,0.037406484,0.690773067,0.061367862,0.11118378,0.028,0.08,,0.024,0.389143231,0.725964683,0.31082826,0.305716827,0.336118861,0.116813642,0.309748428,0.17872969,0.05940661,0.018320281,0.079230733
Will Barton,0.4,0.139072848,1916,0.385177453,0.428184282,0.12195122,0.062330623,0.386178862,0,0.019832985,0.064,0.295,,,0.393006263,0.685803758,0.353166319,0.559343499,0.547256117,0.38908899,0.559748428,0.41211226,0.156650761,0.011371026,0.129903666
William Howard,0.55,0.311258278,13,0.307692308,0,0,0,1,0,0,,,,,0.384615385,0.769230769,0.197238659,0.484183587,0.258102823,0.298675683,0.240566038,0.085672083,0,0,0
